X;Y;raw mag data (nT);local field data (nT);corrected mag data (nT)
0;0;45501,35;45500,05;
0;0,5;45494,94;45500,22;
0;1;45495,65;45498,79;
0;1,5;45492,69;45500,04;
0;2;45500,81;45500,18;
0;2,5;45506,82;45499,96;
0;3;45510,27;45501,18;
0;3,5;45499,71;45499,85;
0;4;45507,74;45501;
0;4,5;45500,76;45499,17;
0;5;45492,93;45500,58;
0;5,5;45505,09;45499,77;
0;6;45496,25;45501,03;
0;6,5;45498,32;45500,91;
0;7;45507,54;45500,53;
0;7,5;45502,76;45500,89;
0;8;45504,8;45498,55;
0;8,5;45506,66;45498,71;
0;9;45494,88;45500,87;
0;9,5;45493,27;45499,31;
0;10;45505,99;45501,02;
0;10,5;45503,03;45498,82;
0;11;45497,89;45501,38;
0;11,5;45495,2;45499,83;
0;12;45496,27;45500,29;
0;12,5;45505,63;45500,17;
0;13;45509,61;45499,33;
0;13,5;45516,93;45500,81;
0;14;45521,8;45501,23;
0;14,5;45516,3;45498,82;
0;15;45519,43;45500,42;
0;15,5;45505,64;45500,07;
0;16;45499,67;45500,05;
0;16,5;45499,42;45498,74;
0;17;45506,09;45498,68;
0;17,5;45498,01;45500,93;
0;18;45492,06;45501,33;
0;18,5;45501,19;45500,47;
0;19;45498,78;45500,44;
0;19,5;45492,5;45501,18;
0;20;45492,8;45500,15;
0;20,5;45499,32;45500,44;
0;21;45493,1;45498,99;
0;21,5;45509,01;45499,91;
0;22;45494;45500,68;
0;22,5;45489,07;45499,02;
0;23;45505,38;45500,55;
0;23,5;45500,14;45501,33;
0;24;45500,62;45500,71;
0;24,5;45509,33;45500,41;
0;25;45504,24;45500,77;
0;25,5;45502;45500,69;
0;26;45493,1;45500,58;
0;26,5;45498,03;45501,48;
0;27;45506,69;45499,96;
0;27,5;45507,81;45499,88;
0;28;45495,56;45499,84;
-0,5;0;45492,87;45499,2;
-0,5;0,5;45493,95;45499,45;
-0,5;1;45507,35;45500,64;
-0,5;1,5;45496,21;45499,22;
